Name,Episodes,Released Year,Language,Rating,Ranking
After the Show Ends,8,2016,Korean,7.5,5749
Medical Examiner Dr. Qin: The Survivor,30,2018,Chinese,7.6,4517
The Blood of Youth,40,2022,Chinese,8.9,89
Your Imagination Becomes Reality,8,2018,Korean,7.5,5574
Innocence: Enzai Bengoshi,10,2019,Japanese,7.8,3504
Endless Love,15,2019,Thai,7.7,4254
Lom Son Rak,14,2015,Thai,7.8,3383
Ore no Hanashi wa Nagai,10,2019,Japanese,8.3,1093
Investiture of the Gods,65,2019,Chinese,7.3,7105
Keishicho Ikimono Gakari,10,2017,Japanese,7.6,4404
Tsubasa no Oreta Tenshitachi 2,4,2007,Japanese,7.4,6519
Family,120,2012,Korean,7.9,2387
The Great Shaman Ga Doo Shim,12,2021,Korean,7.9,2402
Kiss,16,2016,Thai,6.9,8474
Misty,16,2018,Korean,8.3,1097
One More Time,8,2016,Korean,7.4,6209
The Prince Who Turns into a Frog,20,2005,Taiwanese,7.6,4682
The Mysterious Class,8,2021,Korean,8.4,741
Dream High,16,2011,Korean,8.0,2199
Hotaru no Hikari 2,11,2010,Japanese,7.5,5478
Navillera,12,2021,Korean,8.9,68
Vampire Prosecutor,12,2011,Korean,8.1,1527
River Where the Moon Rises,20,2021,Korean,7.9,2924
Dong Lan Xue,30,2023,Chinese,7.8,3004
Pink Lipstick,149,2010,Korean,7.2,7556
The Fiery Priest,40,2019,Korean,8.6,312
Saboriman Kantarou,12,2017,Japanese,7.4,6014
Yankee Bokou ni Kaeru,10,2003,Japanese,7.3,6932
Ugly Duckling Series: Perfect Match,9,2015,Thai,7.7,4300
Good Doctor,10,2018,Japanese,8.3,816
Hunted,4,2022,Korean,7.5,5237
Make It Right,12,2016,Thai,7.1,7878
See You Again,18,2021,Chinese,7.6,4422
Aftermath,5,2014,Korean,7.0,8383
Unrequited Love,24,2019,Chinese,7.9,2910
Lovestruck in the City,17,2020,Korean,7.9,2774
The Underclass,13,2020,Thai,7.6,4902
Love Rerun,10,2018,Japanese,7.2,7260
Juui Dolittle,9,2010,Japanese,7.5,5705
See You After Quarantine?,10,2021,Taiwanese,7.4,6017
Wonderful Life,16,2005,Korean,7.5,5269
Catch the Ghost,16,2019,Korean,8.1,1762
Ms. Temper & Nam Jung Gi,16,2016,Korean,7.6,4552
Dine With Love,16,2022,Chinese,8.0,2268
Taddao Bussaya,16,2010,Thai,7.4,6491
Joseon Survival,16,2019,Korean,7.0,8420
Protect the Boss,18,2011,Korean,7.6,4544
Second Chance,6,2021,Thai,7.3,7013
I Have a Smart Doctor Wife,22,2023,Chinese,7.4,6128
Just Fiancée,22,2022,Chinese,6.9,8480
Invisible Life,42,2020,Chinese,7.2,7678
Otomen,12,2009,Japanese,7.1,7830
