actor_id,actor_name,drama_name,character_name,role
871140e1-769d-4943-a39d-893b59b70c23,Orm Kornnaphat Sethratanapong,Nakak,Phin,Main Role
871140e1-769d-4943-a39d-893b59b70c23,Orm Kornnaphat Sethratanapong,"Ai, Khoi Hak Jao",Thanya,Support Role
871140e1-769d-4943-a39d-893b59b70c23,Orm Kornnaphat Sethratanapong,From Zero to Hero,Prim Prima Wiralkul,Support Role
871140e1-769d-4943-a39d-893b59b70c23,Orm Kornnaphat Sethratanapong,Game of Outlaws,Anya,Support Role
5250c332-3760-4f36-ae19-0ea887435903,Gap Thanavate Siriwattanakul,Nakak,Ohn,Main Role
5250c332-3760-4f36-ae19-0ea887435903,Gap Thanavate Siriwattanakul,From Chao Phraya to Irawadee,Shwedaung Min,Support Role
5250c332-3760-4f36-ae19-0ea887435903,Gap Thanavate Siriwattanakul,Girl From Nowhere,{The Ugly Truth} Win (Ep. 1),Support Role
5250c332-3760-4f36-ae19-0ea887435903,Gap Thanavate Siriwattanakul,Nang Khaen,Khem,Support Role
0b90da71-727f-4175-9873-44a1c78a8036,Nest Nisachol Siwthaisong,Nakak,Mim,Main Role
0b90da71-727f-4175-9873-44a1c78a8036,Nest Nisachol Siwthaisong,Plai Chawak,Wat,Support Role
0b90da71-727f-4175-9873-44a1c78a8036,Nest Nisachol Siwthaisong,Fly to Fin,Nim,Support Role
6864be84-e72a-4a3e-bf1c-12a66a8944ae,Tan Anugoon Mokchai,Nakak,Khaen,Support Role
59121ecc-b17c-4ec1-ac25-9f9bade11ef8,Phiao Duangjai Hiransri,Nakak, Nilubon,Support Role
59121ecc-b17c-4ec1-ac25-9f9bade11ef8,Phiao Duangjai Hiransri,Something in My Room,Nuan,Support Role
59121ecc-b17c-4ec1-ac25-9f9bade11ef8,Phiao Duangjai Hiransri,From Chao Phraya to Irawadee,Princess Mongkut,Support Role
e2870124-0784-49e8-a337-56edc32d9489,Guide Wachara Kanha,Nakak,Somwang [Monk],Support Role
eca70958-ca15-497c-93fb-690cf0d8e21e,Nanon Korapat Kirdpan,UMG,"""Mew"" Thanaphat Kamolpetch",Main Role
eca70958-ca15-497c-93fb-690cf0d8e21e,Nanon Korapat Kirdpan,Dirty Laundry,Night,Main Role
eca70958-ca15-497c-93fb-690cf0d8e21e,Nanon Korapat Kirdpan,55:15 Never Too Late,"Seksan / ""San"" [Age 15]",Main Role
eca70958-ca15-497c-93fb-690cf0d8e21e,Nanon Korapat Kirdpan,Bad Buddy,"""Pran"" / Parakul Siridechawat",Main Role
eca70958-ca15-497c-93fb-690cf0d8e21e,Nanon Korapat Kirdpan,The Leaked,Tor,Main Role
